humidity,pressure,wind_speed,cloud_cover,temperature
46.5,1001.2,29.3,29.5,5.2
75.6,1015.9,9.1,78.5,17.5
70.3,1014.7,17.2,65.6,15.6
79.0,981.6,14.5,12.7,3.9
82.7,995.1,18.5,27.5,10.1
79.3,1016.2,27.3,73.9,17.1
49.6,990.5,23.5,23.6,2.6
62.2,982.0,29.5,96.7,-5.4
85.7,1030.3,22.6,41.3,26.6
72.9,1023.6,5.0,57.8,30.2
24.3,995.9,24.6,5.3,7.1
58.1,1008.6,28.4,92.2,4.7
74.7,1003.4,7.9,53.0,15.8
43.1,1027.8,11.5,31.6,26.9
96.5,985.8,15.9,35.4,12.7
68.8,1019.1,8.2,27.0,29.3
40.4,1015.1,13.8,67.5,13.1
73.8,1026.2,15.6,67.8,29.0
45.1,980.6,0.3,6.8,8.2
62.0,1021.1,10.5,72.5,18.9
22.7,1017.2,1.7,59.4,23.3
37.3,1016.0,3.7,95.8,11.9
68.4,1002.6,22.9,64.8,12.8
34.8,986.7,5.5,29.5,8.8
26.1,1007.2,29.9,76.9,6.5
73.4,1026.2,7.7,78.1,23.1
25.0,1003.3,29.9,25.8,10.7
34.2,984.2,29.4,20.1,-1.4
71.6,986.5,16.2,43.1,7.4
28.5,1006.5,7.8,3.5,14.1
78.2,1026.6,0.6,49.8,32.5
20.1,982.3,11.7,15.2,1.4
51.3,980.2,21.2,77.1,-4.1
52.3,1023.7,24.4,7.0,21.3
50.8,1021.4,23.4,12.1,22.9
99.3,1000.0,9.1,5.5,26.6
71.8,1001.9,25.6,34.0,15.5
80.8,997.4,6.1,55.4,19.1
72.9,997.9,11.7,10.7,18.6
58.9,1033.1,13.1,18.9,27.0
22.0,1039.8,7.2,38.9,34.0
71.5,1010.0,28.9,81.2,15.0
21.3,1000.4,10.1,72.1,6.1
36.9,1019.2,15.7,94.0,17.9
62.9,1024.5,7.0,7.2,33.1
59.1,981.1,27.2,61.8,-5.4
71.9,980.9,19.0,90.5,1.1
27.8,1016.7,25.1,6.4,21.1
29.1,1015.7,18.5,6.3,16.6
47.0,1030.2,22.1,40.2,20.3
74.7,1012.8,9.6,96.5,13.4
23.6,990.4,1.9,27.4,11.8
33.4,1002.2,5.0,24.4,16.3
30.7,1027.5,19.0,37.6,18.9
90.4,984.8,0.2,92.6,9.2
67.5,997.0,20.8,79.2,5.9
30.2,988.6,8.1,45.0,2.8
34.0,1021.5,17.9,71.7,17.7
27.0,1029.6,9.0,41.9,26.2
35.4,1039.2,29.3,61.9,26.8
98.9,1010.5,13.9,62.6,16.8
24.2,986.8,4.5,84.4,5.1
59.8,989.6,27.7,5.4,5.6
